City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,vilyuchinsk,52.9306,158.4028,-1.85,80,82,3.66,RU,1699543249
82,bossangoa,6.4926,17.4552,30.31,63,62,1.4,CF,1699543257
83,daru,-9.0763,143.2092,24.62,81,96,4.6,PG,1699543652
84,lovington,32.944,-103.3485,8.9,72,100,1.79,US,1699543652
85,flin flon,54.7682,-101.865,-1.09,86,100,4.12,CA,1699543653
86,voinjama,8.4219,-9.7478,25.16,81,79,1.39,LR,1699543653
87,pisco,-13.7,-76.2167,20.03,83,100,3.09,PE,1699543338
88,belmonte,-15.8631,-38.8828,27.93,60,13,3.62,BR,1699543653
89,sitka,57.0531,-135.33,7.94,81,100,3.09,US,1699543201
90,de queen,34.0379,-94.3413,19.47,82,100,2.06,US,1699543654
91,iwanai,42.9744,140.5089,10.73,89,50,3.52,JP,1699543654
92,qaqortoq,60.7167,-46.0333,-0.54,89,96,1.91,GL,1699543223
93,weno,7.4515,151.8468,28.12,81,98,9.7,FM,1699543190
94,mouila,-1.8685,11.0559,27.85,89,76,1.68,GA,1699543655
95,bikenibeu village,1.3673,173.1241,27.98,83,40,4.12,KI,1699543255
96,hawaiian paradise park,19.5933,-154.9731,21.69,89,75,2.57,US,1699543213
97,tynda,55.1667,124.7167,-20.74,95,85,1.57,RU,1699543655
98,brasileia,-11.0161,-68.7481,29.25,79,75,2.06,BR,1699543655
99,aasiaat,68.7098,-52.8699,-3.48,73,99,4.98,GL,1699543336
100,chandur,19.7333,79.1833,23.32,47,27,0.91,IN,1699543656
101,quixada,-4.9714,-39.0153,35.73,26,0,4.26,BR,1699543527
102,san antonio de pale,-1.4014,5.6325,26.19,78,22,4.91,GQ,1699543330
103,ust'-ilimsk,58.0006,102.6619,-16.42,96,19,0.45,RU,1699543656
104,namibe,-15.1961,12.1522,23.79,61,17,5.29,AO,1699543299
105,zgurovka,50.5028,31.7849,6.89,84,7,3.78,UA,1699543657
106,sao gabriel da cachoeira,-0.1303,-67.0892,34.44,49,25,0.73,BR,1699543657
107,posse,-14.0931,-46.3694,35.29,19,0,1.98,BR,1699543657
108,keflavik,64.0049,-22.5624,4.95,75,0,2.57,IS,1699543351
109,college,64.8569,-147.8028,3.18,62,100,5.66,US,1699543131
110,talnakh,69.4865,88.3972,-5.44,91,100,8.14,RU,1699543196
111,kamloops,50.6665,-120.3192,0.87,92,40,6.69,CA,1699543658
112,terrace,54.5163,-128.6035,5.12,100,100,0.0,CA,1699543659
113,nizao,18.25,-70.2,30.82,61,6,7.7,DO,1699543659
114,naha,26.2125,127.6811,26.15,89,20,5.14,JP,1699543659
